System check identified no issues (0 silenced).
March 29, 2017 - 13:55:06
Django version 1.9.7, using settings 'sistema_contabil.settings'
Starting development server at http://localhost:8000/
Quit the server with CTRL-BREAK.
[30/Mar/2017 01:59:54] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 01:59:54] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 02:01:03] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-checked-10x10.png HTTP/1.1" 304 0
[30/Mar/2017 02:01:03] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-unchecked.png HTTP/1.1" 304 0
[30/Mar/2017 02:12:37] "GET /planos/ HTTP/1.1" 200 36231
[30/Mar/2017 02:12:37] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:12:37] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:12:37] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:12:37] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 02:12:37] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 02:12:37] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:12:37] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:12:37] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:12:37] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:12:37] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 02:12:37] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 02:12:37] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:12:37] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 02:12:37] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:12:37] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 02:12:37] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 02:12:37] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 02:12:38] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 02:12:38] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 02:12:38] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 02:12:38] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 02:12:38] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 02:12:40] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-checked-10x10.png HTTP/1.1" 304 0
[30/Mar/2017 02:12:40] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-unchecked.png HTTP/1.1" 304 0
[30/Mar/2017 02:13:17] "GET /planos/ HTTP/1.1" 200 36237
[30/Mar/2017 02:13:17] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:13:17] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:13:17] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:13:17] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:13:17] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:13:17] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:13:17] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 02:13:17] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:13:17] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:13:17] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 02:13:17] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 02:13:17] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 02:13:17] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 02:13:17] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:13:17] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 02:13:17] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 02:13:17] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 02:13:18] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 02:13:18] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 02:13:18] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 02:13:18] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 02:13:18] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 02:13:19] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-unchecked.png HTTP/1.1" 304 0
[30/Mar/2017 02:13:20] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-checked-10x10.png HTTP/1.1" 304 0
[30/Mar/2017 02:17:03] "GET /planos/ HTTP/1.1" 200 36394
[30/Mar/2017 02:17:03] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:03] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:03] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:17:03] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:03] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:17:03] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:17:04] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:04] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:17:04] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 02:17:04] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 02:17:04] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:04] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:04] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:04] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:04] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:04] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:04] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 02:17:04] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 02:17:04] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 02:17:04] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 02:17:04] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 02:17:04] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 02:17:06] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-checked-10x10.png HTTP/1.1" 304 0
[30/Mar/2017 02:17:06] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-unchecked.png HTTP/1.1" 304 0
[30/Mar/2017 02:17:52] "GET /planos/ HTTP/1.1" 200 36401
[30/Mar/2017 02:17:52] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:52] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:52] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:17:52] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:17:52] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:52] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:17:52] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 02:17:52] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 02:17:52] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 02:17:52] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:52] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:53] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:53] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:53] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 02:17:53] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
