"C:\Program Files (x86)\JetBrains\PyCharm 2016.1.4\bin\runnerw.exe" C:\Python27\python.exe C:/Users/diego/OneDrive/Projetos/sistema_contabil/manage.py runserver localhost:8000
Performing system checks...

System check identified no issues (0 silenced).
October 26, 2016 - 13:53:28
Django version 1.9.7, using settings 'sistema_contabil.settings'
Starting development server at http://localhost:8000/
Quit the server with CTRL-BREAK.
[26/Oct/2016 13:53:33] "GET / HTTP/1.1" 200 14491
[26/Oct/2016 13:53:34] "GET /arquivos_estaticos/icones/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 304 0
Not Found: /favicon.ico
Not Found: /favicon.ico
[26/Oct/2016 13:53:34] "GET /favicon.ico HTTP/1.1" 404 4528
Not Found: /favicon.ico
Not Found: /favicon.ico
[26/Oct/2016 13:53:34] "GET /favicon.ico HTTP/1.1" 404 4528
[26/Oct/2016 13:55:25] "GET /entidade/adicionar/ HTTP/1.1" 200 263782
[26/Oct/2016 13:55:26] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[26/Oct/2016 13:59:28] "GET /entidade/adicionar/ HTTP/1.1" 200 263825
[26/Oct/2016 13:59:28] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[26/Oct/2016 13:59:29] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.js HTTP/1.1" 304 0
[26/Oct/2016 13:59:29] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[26/Oct/2016 13:59:29] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[26/Oct/2016 13:59:29] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[26/Oct/2016 13:59:29] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[26/Oct/2016 13:59:29] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[26/Oct/2016 13:59:29] "GET /arquivos_estaticos/datatable/DataTables-1.10.11/css/dataTables.bootstrap.min.css HTTP/1.1" 304 0
[26/Oct/2016 13:59:29] "GET /arquivos_estaticos/datatable/plugins/responsivo/Responsive-2.0.2/css/responsive.bootstrap.min.css HTTP/1.1" 304 0
[26/Oct/2016 13:59:30] "GET /arquivos_estaticos/datatable/plugins/select/Select-1.1.2/css/select.bootstrap.min.css HTTP/1.1" 304 0
[26/Oct/2016 13:59:30] "GET /arquivos_estaticos/datatable/DataTables-1.10.11/js/jquery.dataTables.min.js HTTP/1.1" 304 0
[26/Oct/2016 13:59:30] "GET /arquivos_estaticos/datatable/DataTables-1.10.11/js/dataTables.bootstrap.min.js HTTP/1.1" 304 0
[26/Oct/2016 13:59:30] "GET /arquivos_estaticos/datatable/plugins/select/Select-1.1.2/js/dataTables.select.min.js HTTP/1.1" 304 0
[26/Oct/2016 13:59:30] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.css HTTP/1.1" 304 0
[26/Oct/2016 13:59:30] "GET /arquivos_estaticos/jquery/jquery-editable-select/jquery.editable-select.min.css HTTP/1.1" 304 0
[26/Oct/2016 13:59:30] "GET /arquivos_estaticos/jquery/jquery-editable-select/jquery.editable-select.min.js HTTP/1.1" 304 0
[26/Oct/2016 13:59:30] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[26/Oct/2016 13:59:30] "GET /arquivos_estaticos/scripts/protocolo/protocolo.js HTTP/1.1" 304 0
[26/Oct/2016 13:59:30] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[26/Oct/2016 13:59:30] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[26/Oct/2016 13:59:30] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[26/Oct/2016 13:59:31] "GET /arquivos_estaticos/scripts/mask.js HTTP/1.1" 304 0
